#{"t_start": 1743754411.2811239, "env_id": "sneaky_enemies"}
r,l,t
3.0,7,9.092394
4.0,36,9.137032
2.0,7,9.146549
2.0,17,9.167584
4.0,14,9.185116
4.0,17,9.206158
4.0,17,9.227191
4.0,16,9.247226
1.0,2,9.250226
3.0,19,9.273262
1.0,7,9.28331
4.0,16,9.30244
4.0,27,9.335654
4.0,43,9.387044
2.0,7,9.395571
3.0,23,9.424133
2.0,19,9.447216
4.0,7,9.455415
4.0,16,9.475553
2.0,3,9.480091
2.0,7,9.488632
6.0,34,9.528922
3.0,20,9.55454
4.0,30,9.59136
4.0,28,9.624541
3.0,19,9.64769
4.0,27,9.680918
4.0,35,9.724688
4.0,12,9.740219
3.0,11,9.754241
8.0,25,9.784302
4.0,19,9.808351
2.0,23,9.835898
4.0,19,9.859938
3.0,27,9.8931
2.0,6,9.900634
9.0,51,9.960946
5.0,19,9.984171
8.0,27,10.015841
4.0,23,10.04443
3.0,19,11.200044
1.0,4,11.208556
5.0,47,11.272626
2.0,7,11.284148
4.0,12,11.30107
3.0,17,11.325629
3.0,15,11.346758
3.0,15,11.366444
4.0,8,11.378971
4.0,11,11.392567
4.0,22,11.419227
3.0,4,11.424761
1.0,7,11.434265
7.0,26,11.464751
2.0,7,11.47432
3.0,13,11.489437
5.0,28,11.523183
3.0,23,11.551386
2.0,7,11.560895
3.0,22,11.586623
2.0,7,11.596163
3.0,23,11.62333
3.0,7,11.632853
3.0,19,11.655563
3.0,19,11.679213
2.0,15,11.696937
4.0,23,11.725568
2.0,3,11.729541
2.0,11,11.743138
5.0,17,11.764793
3.0,7,11.774366
3.0,9,11.786012
4.0,15,11.804016
2.0,9,11.815381
4.0,17,11.836498
3.0,19,11.859195
2.0,11,11.872785
2.0,6,11.879837
2.0,11,11.893973
8.0,31,11.930727
2.0,16,11.950808
5.0,26,11.982035
6.0,22,12.008717
4.0,28,12.042355
6.0,71,12.126442
2.0,11,12.140017
2.0,19,12.163188
1.0,12,12.177332
3.0,11,12.191416
2.0,23,12.21907
7.0,22,12.246782
3.0,19,12.269491
3.0,15,12.287211
4.0,31,12.325441
4.0,27,12.358063
1.0,19,12.380713
3.0,5,12.387285
1.0,11,12.400841
3.0,29,12.438047
2.0,7,12.44764
4.0,19,12.470759
4.0,19,12.494959
2.0,35,12.537863
4.0,11,12.552432
1.0,5,12.559005
3.0,27,12.592187
3.0,7,12.600767
3.0,18,12.62534
4.0,29,12.66152
3.0,31,12.699274
2.0,10,12.711863
2.0,3,12.716429
7.0,19,12.73954
2.0,12,12.754641
5.0,18,12.77683
3.0,12,12.791941
8.0,77,12.884991
3.0,27,12.917686
1.0,3,12.921686
5.0,20,12.946035
5.0,39,12.993893
4.0,19,13.017615
2.0,6,13.025156
3.0,7,13.034719
5.0,30,13.071464
3.0,23,13.098694
4.0,12,13.114302
2.0,15,13.132439
2.0,7,13.142018
1.0,3,13.146592
4.0,7,13.155107
3.0,11,13.169226
2.0,15,13.187659
2.0,10,13.200203
3.0,27,13.232951
6.0,47,13.289703
4.0,20,13.315127
8.0,26,13.345876
1.0,3,13.350869
3.0,15,13.368998
4.0,19,13.392712
1.0,6,13.400253
2.0,11,13.414907
3.0,23,13.454611
4.0,13,13.471185
1.0,20,13.495436
4.0,31,13.533109
6.0,25,13.562824
4.0,7,13.572393
9.0,67,13.653985
3.0,7,13.662554
6.0,20,13.687202
5.0,15,13.70537
5.0,7,13.714941
4.0,6,13.72294
5.0,16,13.742079
3.0,7,14.84252
1.0,2,14.84603
1.0,3,14.852032
2.0,13,14.86906
3.0,18,14.89059
4.0,39,14.939517
5.0,22,14.967339
1.0,6,14.975851
3.0,10,14.989959
5.0,27,15.029165
2.0,11,15.04277
3.0,27,15.074605
5.0,13,15.090449
2.0,15,15.108506
2.0,3,15.112505
3.0,23,15.140222
2.0,15,15.158103
3.0,11,15.17171
6.0,43,15.223075
4.0,39,15.268895
3.0,6,15.276506
5.0,15,15.295026
4.0,14,15.311626
2.0,3,15.316168
2.0,15,15.334306
4.0,15,15.351919
1.0,3,15.356487
1.0,3,15.360488
2.0,11,15.374031
3.0,6,15.382112
2.0,12,15.396055
4.0,12,15.410655
4.0,27,15.44321
5.0,21,15.467914
2.0,7,15.477487
2.0,19,15.500189
3.0,7,15.508752
2.0,7,15.518361
4.0,10,15.529908
3.0,8,15.540478
2.0,18,15.561616
4.0,11,15.575766
3.0,13,15.590879
3.0,15,15.609028
2.0,7,15.617621
3.0,9,15.629168
2.0,11,15.641764
3.0,15,15.660866
1.0,11,15.673965
4.0,51,15.734509
3.0,19,15.757536
5.0,14,15.774549
8.0,18,15.796581
3.0,11,15.810092
8.0,35,15.852136
1.0,6,15.859648
3.0,4,15.865154
5.0,32,15.902756
3.0,15,15.920874
5.0,17,15.942017
3.0,23,15.968681
3.0,11,15.98281
1.0,2,15.985416
4.0,14,16.002963
4.0,10,16.015046
2.0,11,16.028614
7.0,29,16.064232
7.0,21,16.088453
4.0,13,16.104438
2.0,7,16.114002
3.0,16,16.132614
2.0,11,16.146747
6.0,19,16.169722
4.0,9,16.180289
2.0,7,16.189484
4.0,34,16.229684
5.0,17,16.249622
2.0,11,16.26304
3.0,23,16.290423
2.0,7,16.29993
2.0,19,16.322943
5.0,11,16.336014
9.0,38,16.381226
5.0,43,16.432717
4.0,8,16.442294
4.0,23,16.470005
5.0,14,16.487527
3.0,13,16.504069
