#{"t_start": 1743754295.1452782, "env_id": "sneaky_enemies"}
r,l,t
2.0,15,9.152552
3.0,27,9.185224
4.0,55,9.254374
10.0,58,9.325109
3.0,51,9.388177
2.0,7,9.398801
4.0,27,9.433897
3.0,11,9.449688
4.0,12,9.473775
3.0,15,9.498057
4.0,27,9.538844
3.0,5,9.545844
2.0,7,9.556399
5.0,32,9.598115
1.0,17,9.620296
7.0,15,9.639385
4.0,27,9.674106
2.0,11,9.687704
2.0,11,9.700816
1.0,3,9.705816
2.0,26,9.737971
3.0,47,9.794778
1.0,15,9.814885
4.0,19,9.841507
1.0,19,9.865571
5.0,63,9.945876
4.0,15,9.967916
4.0,39,10.017747
3.0,7,10.027784
4.0,24,10.060885
5.0,15,10.081972
4.0,24,10.115307
5.0,27,10.150479
4.0,8,10.160958
3.0,21,10.187133
3.0,15,10.206277
9.0,38,10.254139
3.0,7,10.263683
2.0,3,10.267709
5.0,19,10.292286
2.0,7,10.302802
4.0,11,10.316397
2.0,35,10.358222
3.0,7,10.36875
4.0,23,10.398298
3.0,11,10.41386
9.0,70,10.500656
2.0,11,10.516236
3.0,14,10.535295
9.0,38,10.583914
2.0,15,10.604035
3.0,11,10.619065
1.0,6,10.628074
4.0,15,10.649612
7.0,25,12.128724
8.0,14,12.157285
4.0,11,12.181846
4.0,23,12.224784
2.0,7,12.239411
4.0,15,12.263445
3.0,6,12.270951
1.0,7,12.282465
1.0,11,12.297982
7.0,15,12.317013
3.0,11,12.331561
1.0,3,12.33656
3.0,23,12.366101
3.0,13,12.383137
4.0,15,12.403184
3.0,7,12.414702
5.0,47,12.474806
3.0,11,12.488829
3.0,6,12.496841
7.0,31,12.534887
4.0,24,12.564412
3.0,7,12.573965
4.0,19,12.597028
7.0,23,12.627262
4.0,19,12.650813
5.0,11,12.666336
2.0,15,12.685372
4.0,25,12.715924
3.0,7,12.725441
5.0,24,12.755998
1.0,11,12.770035
2.0,7,12.779546
3.0,15,12.798578
1.0,11,12.813107
2.0,7,12.823171
4.0,18,12.848771
3.0,15,12.86795
2.0,7,12.877463
3.0,15,12.897498
3.0,11,12.91253
3.0,9,12.926049
5.0,29,12.962108
1.0,4,12.967106
4.0,15,12.987124
4.0,14,13.004146
5.0,29,13.041242
1.0,3,13.046242
5.0,28,13.083401
4.0,13,13.100432
4.0,19,13.125475
8.0,38,13.175069
7.0,23,13.203629
4.0,27,13.240004
1.0,4,13.246006
8.0,23,13.276204
3.0,18,13.29887
3.0,20,13.323402
8.0,42,13.374218
2.0,3,13.378754
4.0,23,13.407809
2.0,16,13.429899
3.0,27,13.465455
3.0,11,13.47948
6.0,26,13.512651
4.0,28,13.547678
2.0,23,13.576236
4.0,21,13.601791
4.0,20,13.627333
6.0,31,13.66552
4.0,17,13.685657
3.0,7,13.695187
3.0,48,13.754442
2.0,19,13.777468
3.0,11,13.791553
5.0,23,13.821624
6.0,21,13.847796
9.0,18,13.870282
4.0,22,13.896371
2.0,23,13.925184
2.0,15,13.944206
2.0,7,13.953718
4.0,24,13.9832
3.0,7,13.991711
1.0,3,13.99571
5.0,19,14.018731
4.0,31,14.055437
8.0,22,14.092114
4.0,28,14.132868
3.0,11,14.14734
4.0,27,14.180438
2.0,12,14.195956
3.0,15,14.214991
5.0,19,14.239043
3.0,7,14.249057
1.0,7,14.257581
5.0,11,14.271618
3.0,23,14.299159
3.0,11,14.313691
4.0,35,14.356267
5.0,23,14.383821
11.0,58,14.451864
3.0,5,14.457896
5.0,17,14.478035
3.0,12,14.493123
5.0,35,14.532972
2.0,7,14.541585
4.0,23,14.570098
4.0,23,14.597236
6.0,14,14.615316
2.0,15,14.634039
3.0,19,14.663188
4.0,16,14.683292
4.0,31,14.720305
5.0,39,15.951464
3.0,11,15.966976
9.0,15,15.986
4.0,27,16.023556
4.0,17,16.047578
5.0,13,16.067595
4.0,11,16.083626
3.0,22,16.11782
9.0,26,16.149891
3.0,19,16.172633
2.0,7,16.182147
9.0,24,16.210691
5.0,18,16.232218
1.0,4,16.237215
7.0,10,16.250237
2.0,19,16.275311
5.0,15,16.295465
3.0,9,16.308035
2.0,7,16.317598
7.0,10,16.332202
4.0,25,16.364752
3.0,7,16.375266
2.0,7,16.385878
4.0,9,16.397388
10.0,26,16.433997
4.0,11,16.449001
3.0,6,16.457011
2.0,11,16.47574
3.0,19,16.497363
3.0,23,16.525501
2.0,11,16.540118
3.0,23,16.575799
5.0,47,16.638965
5.0,15,16.657492
3.0,5,16.665014
3.0,11,16.682041
5.0,23,16.709566
9.0,28,16.748638
8.0,21,16.774192
2.0,7,16.78271
7.0,22,16.80925
3.0,9,16.820774
9.0,19,16.844239
3.0,19,16.86637
4.0,9,16.877945
4.0,12,16.892089
3.0,14,16.909201
2.0,15,16.927376
4.0,13,16.942492
3.0,10,16.954094
2.0,15,16.973102
8.0,26,17.004658
12.0,31,17.041245
4.0,9,17.052764
3.0,14,17.069799
3.0,11,17.084316
2.0,27,17.116866
5.0,14,17.134409
4.0,9,17.144925
2.0,7,17.154444
2.0,11,17.167962
3.0,15,17.185997
1.0,3,17.190509
11.0,48,17.247723
5.0,35,17.293697
4.0,11,17.307213
3.0,15,17.32676
4.0,19,17.350306
5.0,13,17.366831
1.0,3,17.371348
3.0,31,17.407903
3.0,22,17.434967
4.0,43,17.486554
4.0,21,17.512108
5.0,23,17.540167
5.0,8,17.550687
3.0,11,17.565211
11.0,22,17.59277
12.0,60,17.681006
10.0,28,17.716225
3.0,5,17.722734
2.0,3,17.727908
5.0,14,17.744955
9.0,46,17.801356
2.0,7,17.812836
4.0,19,17.838981
3.0,31,17.877676
5.0,7,17.887238
2.0,7,17.895802
3.0,7,17.905858
4.0,14,17.924921
2.0,3,17.928942
4.0,23,17.959497
2.0,23,17.987539
4.0,8,17.999568
3.0,36,18.045167
3.0,31,18.085282
3.0,5,18.09189
7.0,22,18.119499
4.0,24,18.149122
2.0,7,18.157247
5.0,24,18.187867
3.0,14,18.206901
