#{"t_start": 1743793390.2158263, "env_id": "sneaky_enemies"}
r,l,t
4.0,8,8.241133
3.0,9,8.253133
4.0,15,8.272131
1.0,12,8.286133
4.0,23,8.314133
1.0,10,8.327132
4.0,28,8.361133
3.0,7,8.370133
1.0,3,8.375133
4.0,10,8.387133
5.0,14,8.404133
2.0,7,8.413133
5.0,17,8.435133
4.0,19,8.458132
4.0,11,8.472133
3.0,13,8.489133
4.0,10,8.502133
4.0,7,8.511133
3.0,15,8.529136
4.0,6,8.537136
4.0,6,8.545135
4.0,16,8.565136
6.0,17,8.588137
4.0,11,8.602133
3.0,7,8.611133
2.0,3,8.615133
5.0,18,8.638568
2.0,3,8.642568
3.0,23,8.671568
9.0,17,8.692568
3.0,19,8.715568
6.0,33,8.755568
3.0,19,8.778568
1.0,7,8.787568
4.0,7,8.796568
1.0,3,8.800568
2.0,11,8.814568
4.0,23,8.842568
9.0,54,8.907568
4.0,23,8.936569
4.0,31,8.979572
2.0,11,8.99557
3.0,15,9.015598
2.0,6,9.023571
3.0,15,9.041571
2.0,7,9.050571
3.0,8,9.060571
1.0,7,9.06957
3.0,10,9.081568
1.0,7,9.090569
3.0,15,9.10857
2.0,12,9.122566
4.0,14,9.139597
1.0,6,9.147597
4.0,23,9.174598
1.0,14,9.190598
2.0,7,9.199604
1.0,3,9.203597
8.0,22,9.231595
11.0,36,9.273597
5.0,19,9.295596
4.0,7,9.3046
2.0,10,9.317592
7.0,14,9.334597
2.0,7,9.342593
3.0,11,9.356598
4.0,12,9.370598
2.0,11,9.384597
3.0,11,9.397598
4.0,9,9.408601
2.0,3,9.413597
2.0,27,9.445598
3.0,15,9.463589
3.0,19,9.4866
3.0,13,9.502597
3.0,15,9.520571
3.0,11,9.533597
3.0,14,9.550568
4.0,14,9.567595
1.0,3,9.573598
3.0,13,9.588593
2.0,19,9.611598
4.0,10,9.623597
3.0,10,9.636598
1.0,11,9.6496
3.0,23,9.677601
9.0,15,9.695595
2.0,7,9.704597
2.0,15,9.723598
5.0,27,9.754597
3.0,23,9.782598
1.0,3,9.786598
3.0,11,9.80057
5.0,19,9.823596
2.0,15,9.8416
4.0,9,9.852597
3.0,5,9.859138
2.0,3,9.864173
3.0,11,9.877174
5.0,31,9.913143
3.0,18,11.190419
4.0,17,11.217421
5.0,23,11.24942
5.0,21,11.284418
8.0,30,11.32942
1.0,3,11.335418
4.0,8,11.347421
4.0,27,11.387417
7.0,19,11.412423
4.0,25,11.445418
4.0,20,11.477169
10.0,34,11.536169
1.0,7,11.545169
3.0,19,11.57217
5.0,19,11.597169
5.0,18,11.620168
9.0,39,11.66917
2.0,7,11.678169
1.0,6,11.686169
5.0,7,11.69617
5.0,26,11.72917
4.0,8,11.740169
2.0,7,11.750169
3.0,11,11.76417
1.0,13,11.78117
1.0,6,11.789167
2.0,27,11.823167
3.0,17,11.8432
2.0,3,11.847201
9.0,38,11.8922
4.0,10,11.904199
3.0,15,11.923172
3.0,16,11.942172
5.0,34,11.983172
2.0,7,11.992173
3.0,19,12.01517
6.0,15,12.034173
2.0,8,12.044168
4.0,9,12.055168
4.0,15,12.073168
3.0,31,12.109199
3.0,7,12.118196
4.0,13,12.133169
9.0,22,12.160169
11.0,38,12.205168
3.0,17,12.23017
8.0,26,12.277205
3.0,8,12.29861
5.0,14,12.329356
1.0,7,12.345386
3.0,15,12.380512
7.0,21,12.423257
6.0,38,12.491299
9.0,26,12.559557
3.0,12,12.585146
3.0,34,12.662917
3.0,12,12.680441
4.0,15,12.701056
3.0,9,12.714581
5.0,17,12.738218
2.0,3,12.742327
1.0,3,12.747325
3.0,12,12.775474
6.0,20,12.806038
9.0,31,12.858166
1.0,23,12.913843
4.0,19,12.953138
4.0,27,12.998313
8.0,15,13.021441
4.0,20,13.045458
5.0,11,13.065813
5.0,11,13.081429
1.0,3,13.086435
4.0,12,13.101525
8.0,19,13.129655
5.0,19,13.15321
3.0,22,13.181443
3.0,18,13.203082
4.0,8,13.213596
1.0,5,13.219597
4.0,9,13.231171
3.0,7,13.240203
5.0,39,13.288434
5.0,11,13.303333
10.0,19,13.326354
3.0,35,13.370556
8.0,35,13.41333
7.0,14,13.430354
4.0,15,13.448964
4.0,8,13.458534
3.0,11,13.473409
5.0,13,13.488862
2.0,11,13.504561
1.0,3,13.509563
2.0,7,13.518583
3.0,5,13.524659
