#{"t_start": 1743396140.4830596, "env_id": "sneaky_enemies"}
r,l,t
6.0,12,7.842004
4.0,16,7.862031
10.0,15,7.880027
4.0,14,7.897031
3.0,7,7.907037
3.0,11,7.921031
2.0,7,7.930031
4.0,9,7.941031
5.0,37,7.986002
4.0,9,7.997031
2.0,8,8.00703
3.0,19,8.031001
3.0,24,8.060031
6.0,23,8.088033
4.0,23,8.117004
1.0,3,8.122004
1.0,6,8.129005
4.0,27,8.162004
5.0,16,8.181004
3.0,11,8.195004
3.0,15,8.214029
2.0,6,8.221032
3.0,6,8.229026
3.0,11,8.243031
1.0,6,8.251032
4.0,15,8.269032
9.0,30,8.306002
2.0,15,8.324032
2.0,11,8.339002
5.0,11,8.353033
2.0,3,8.357031
2.0,3,8.361001
9.0,13,8.378031
4.0,23,8.405036
4.0,9,8.416
6.0,37,8.460026
6.0,31,8.49737
4.0,19,8.520343
4.0,8,8.530369
5.0,27,8.562374
3.0,8,8.572375
4.0,13,8.588369
4.0,24,8.618374
4.0,19,8.641376
3.0,10,8.653379
4.0,13,8.669379
1.0,3,8.673376
2.0,7,8.682374
4.0,55,8.746345
2.0,7,8.755375
2.0,7,8.765374
2.0,11,8.779346
1.0,7,8.788376
3.0,12,8.803374
3.0,7,8.812345
3.0,10,8.825374
2.0,3,8.829376
5.0,13,8.846347
3.0,8,8.856345
4.0,17,8.877379
4.0,17,8.898374
2.0,7,8.907344
7.0,31,8.945377
4.0,39,8.992375
5.0,18,9.014374
3.0,10,9.029117
2.0,18,9.050125
1.0,3,9.055116
3.0,18,9.077117
4.0,15,9.095117
4.0,22,9.122117
2.0,7,9.131118
5.0,11,9.144119
3.0,43,9.196093
2.0,7,9.205117
5.0,21,9.230117
4.0,30,9.266094
4.0,20,9.290117
1.0,19,9.313116
2.0,25,9.345117
5.0,27,9.378117
4.0,18,9.400119
2.0,6,9.408117
1.0,2,9.411112
1.0,15,9.429117
1.0,3,9.433117
3.0,13,9.449118
1.0,20,9.474117
1.0,5,9.481117
2.0,11,9.495118
9.0,30,9.532117
6.0,32,9.570118
3.0,7,9.579123
1.0,5,9.586117
4.0,12,9.601112
3.0,11,9.615117
6.0,21,9.640088
4.0,16,9.660117
2.0,4,9.666123
7.0,36,9.709118
5.0,12,9.724113
10.0,55,9.790117
1.0,15,9.809117
4.0,10,9.821117
4.0,39,9.86809
2.0,9,9.879091
2.0,11,9.89209
1.0,7,10.995208
2.0,7,11.005204
1.0,3,11.009204
4.0,15,11.030205
8.0,18,11.054204
10.0,29,11.091205
2.0,7,11.101204
1.0,3,11.107205
3.0,15,11.130205
4.0,7,11.139205
2.0,15,11.158209
2.0,7,11.16621
2.0,11,11.180207
5.0,14,11.198237
2.0,6,11.205232
4.0,11,11.219237
5.0,51,11.278781
3.0,7,11.287779
4.0,9,11.298782
4.0,20,11.322752
3.0,8,11.332752
2.0,7,11.341752
2.0,15,11.359752
4.0,24,11.389782
5.0,16,11.409785
4.0,11,11.422788
3.0,5,11.429782
1.0,11,11.442781
4.0,13,11.458776
2.0,7,11.467782
3.0,10,11.479779
12.0,46,11.534777
3.0,7,11.543779
6.0,22,11.569782
2.0,11,11.583788
3.0,14,11.600776
2.0,3,11.604783
3.0,7,11.613751
3.0,23,11.641781
12.0,46,11.695776
3.0,7,11.704787
3.0,11,11.717785
3.0,27,11.750782
4.0,15,11.768752
4.0,20,11.792752
3.0,13,11.809752
4.0,15,11.827755
2.0,7,11.836755
7.0,32,11.874755
2.0,11,11.888755
4.0,11,11.901755
4.0,25,11.931755
2.0,15,11.949755
4.0,8,11.960755
5.0,20,11.984755
7.0,18,12.006089
2.0,11,12.019087
4.0,8,12.030087
3.0,9,12.041086
3.0,10,12.053087
4.0,15,12.072087
1.0,11,12.085087
2.0,11,12.099087
4.0,7,12.108087
1.0,6,12.115087
2.0,3,12.119087
7.0,21,12.144087
3.0,7,12.153086
2.0,11,12.167087
2.0,11,12.181087
5.0,14,12.198087
11.0,58,12.26809
7.0,18,12.29009
2.0,11,12.30409
3.0,27,12.337087
9.0,27,12.370087
3.0,18,12.392087
3.0,7,12.401087
4.0,7,12.410087
3.0,11,12.424087
5.0,21,12.450087
2.0,9,12.461087
2.0,11,12.475085
5.0,10,12.488087
2.0,11,12.502087
4.0,21,12.528087
4.0,11,12.542087
2.0,15,12.561086
3.0,15,12.579086
4.0,8,12.589087
3.0,13,12.605088
4.0,19,12.628087
2.0,12,12.643086
5.0,15,12.661085
1.0,7,12.670087
4.0,17,12.690087
3.0,23,12.71709
3.0,19,12.74009
5.0,15,12.75909
2.0,7,12.76809
4.0,11,12.78209
2.0,7,12.79109
2.0,7,12.80009
3.0,15,12.818089
9.0,26,12.84909
8.0,36,12.892117
2.0,5,12.898118
1.0,7,12.908117
2.0,16,12.927086
3.0,9,12.938118
3.0,6,12.946117
3.0,7,12.955118
4.0,13,12.97111
3.0,15,12.990117
3.0,4,12.995117
9.0,34,13.036086
4.0,28,13.070087
4.0,15,13.088087
4.0,21,13.113871
2.0,3,13.117838
1.0,6,13.12587
3.0,11,13.139839
5.0,16,13.158839
3.0,21,13.183838
2.0,7,13.192839
4.0,13,13.208839
2.0,7,13.217839
12.0,32,13.255867
5.0,15,13.27387
2.0,7,13.282873
3.0,19,13.305871
3.0,7,13.314871
1.0,6,13.321872
1.0,8,13.331868
2.0,15,13.349871
3.0,11,13.364231
3.0,9,13.375232
4.0,22,13.401229
3.0,19,13.424232
3.0,10,13.436226
3.0,11,13.450232
1.0,9,13.461231
1.0,6,13.469232
4.0,10,13.481237
13.0,38,14.590707
5.0,10,14.603707
6.0,25,14.640708
2.0,11,14.65471
4.0,11,14.67071
3.0,15,14.69071
4.0,10,14.70271
4.0,15,14.720713
2.0,7,14.730707
4.0,12,14.74771
4.0,11,14.762713
4.0,12,14.777712
1.0,7,14.786713
6.0,13,14.803713
2.0,7,14.812713
2.0,17,14.832713
2.0,10,14.845713
3.0,23,14.872713
3.0,4,14.878713
4.0,13,14.894713
3.0,11,14.909737
2.0,11,14.92274
7.0,20,14.947712
3.0,8,14.957709
10.0,22,14.983731
4.0,9,14.99574
4.0,11,15.008743
3.0,7,15.01771
1.0,3,15.02174
3.0,9,15.03274
2.0,11,15.046736
5.0,15,15.06474
3.0,30,15.10074
3.0,5,15.107739
4.0,8,15.117709
4.0,10,15.129739
2.0,11,15.142739
2.0,7,15.151741
4.0,27,15.18374
9.0,30,15.220741
1.0,8,15.230741
2.0,3,15.234741
7.0,22,15.260741
4.0,11,15.273605
9.0,18,15.295606
2.0,23,15.322607
3.0,6,15.329605
4.0,8,15.339578
3.0,23,15.367579
5.0,15,15.385578
3.0,7,15.395578
9.0,22,15.421578
7.0,14,15.438578
3.0,11,15.452578
3.0,6,15.459578
4.0,7,15.468578
2.0,7,15.477578
8.0,27,15.509578
3.0,11,15.523578
2.0,7,15.532578
5.0,19,15.555578
3.0,7,15.564578
8.0,22,15.590578
7.0,23,15.617578
3.0,15,15.636578
5.0,35,15.677574
5.0,16,15.696606
3.0,15,15.714609
2.0,11,15.728605
4.0,18,15.749605
3.0,15,15.767575
3.0,7,15.7766
2.0,15,15.794604
4.0,13,15.810605
10.0,17,15.830605
7.0,26,15.861382
8.0,13,15.876384
6.0,19,15.899382
3.0,7,15.908353
4.0,23,15.936377
3.0,13,15.951386
3.0,13,15.970382
3.0,9,15.981383
5.0,18,16.003352
2.0,28,16.036352
7.0,14,16.054383
2.0,23,16.081381
4.0,15,16.100383
8.0,16,16.119378
4.0,11,16.133383
9.0,27,16.165383
5.0,19,16.188353
8.0,19,16.211383
4.0,13,16.227385
5.0,28,16.261382
3.0,7,16.269382
4.0,6,16.277382
9.0,38,16.322384
4.0,5,16.329382
5.0,31,16.366383
4.0,27,16.397383
4.0,18,16.418382
8.0,18,16.440384
2.0,3,16.444383
4.0,14,16.461382
4.0,9,16.471382
8.0,26,16.502383
4.0,11,16.516353
8.0,19,16.538352
1.0,11,16.552352
3.0,8,16.562352
3.0,12,16.577353
3.0,4,16.582352
2.0,7,16.591976
3.0,15,16.609978
3.0,10,16.621981
3.0,15,16.640414
4.0,25,16.67042
3.0,11,16.684419
2.0,7,16.692421
2.0,7,16.701413
7.0,15,16.720415
4.0,15,16.739391
3.0,12,16.75439
3.0,11,16.768393
4.0,29,16.805389
2.0,7,16.814389
4.0,17,16.83639
3.0,11,16.850419
4.0,12,16.864414
3.0,15,16.883393
8.0,18,16.905419
7.0,21,16.931392
5.0,29,16.968391
7.0,15,16.989389
2.0,35,17.03542
2.0,7,17.044425
7.0,15,17.063419
3.0,11,17.078421
5.0,24,18.152387
11.0,38,18.199387
12.0,65,18.279389
7.0,14,18.296387
2.0,8,18.306389
5.0,18,18.327386
3.0,10,18.340388
3.0,5,18.346387
3.0,7,18.355388
10.0,18,18.377387
7.0,26,18.408388
3.0,14,18.42442
3.0,7,18.433389
4.0,7,18.443419
2.0,7,18.451389
3.0,11,18.466419
4.0,11,18.479416
5.0,15,18.498394
8.0,18,18.520392
2.0,7,18.52939
2.0,7,18.539388
