#{"t_start": 1743396140.4830596, "env_id": "sneaky_enemies"}
r,l,t
2.0,7,27.61733
10.0,15,27.635329
3.0,9,27.646329
5.0,10,27.658329
4.0,10,27.670331
2.0,3,27.67533
10.0,47,27.729331
7.0,18,27.751303
3.0,11,28.793135
12.0,61,28.868106
4.0,6,28.877103
12.0,69,28.967107
10.0,18,28.992129
10.0,29,29.027129
3.0,11,29.041128
8.0,30,29.079107
3.0,7,29.089104
9.0,15,29.107105
2.0,3,29.111105
2.0,7,29.120105
4.0,6,29.128106
2.0,3,29.133104
4.0,14,29.150105
5.0,11,29.163136
3.0,7,29.172136
4.0,9,29.184139
4.0,16,29.204136
11.0,36,29.246135
3.0,13,29.262138
2.0,7,29.271131
3.0,9,29.282136
10.0,33,29.321135
5.0,17,29.341139
9.0,23,29.369136
7.0,14,29.386136
3.0,6,29.394136
7.0,18,29.415136
4.0,17,29.436141
9.0,15,29.454131
2.0,3,29.458136
8.0,22,29.484862
7.0,14,29.502867
10.0,28,29.536835
5.0,11,29.549835
8.0,11,29.563835
7.0,14,29.580862
3.0,6,29.588864
4.0,29,29.62286
10.0,26,29.653862
2.0,7,29.662867
8.0,28,29.696865
3.0,11,29.709834
7.0,11,29.723865
4.0,11,29.73786
3.0,4,29.742865
3.0,23,29.770838
4.0,12,29.785864
10.0,18,29.807866
7.0,10,29.819864
3.0,6,29.827864
2.0,3,29.831867
8.0,14,29.848838
12.0,30,29.884865
2.0,7,29.893862
7.0,10,29.905865
2.0,7,29.91486
9.0,22,29.940834
7.0,10,29.952865
2.0,7,29.961866
3.0,6,29.969867
4.0,12,29.983864
8.0,24,30.011865
2.0,11,30.024859
4.0,12,30.039867
3.0,7,30.048865
5.0,27,30.080834
7.0,10,30.092862
9.0,26,30.123865
10.0,23,30.150834
4.0,12,30.165862
7.0,14,30.181862
2.0,11,30.195869
7.0,14,30.213862
2.0,3,30.217838
2.0,7,30.226838
10.0,18,30.247838
4.0,24,30.276838
4.0,7,30.285838
4.0,10,30.297837
7.0,10,30.310838
7.0,10,30.322838
10.0,42,30.372867
4.0,7,30.381864
8.0,19,30.404865
11.0,33,30.442867
12.0,30,30.478867
5.0,10,30.490834
7.0,14,30.50786
2.0,7,30.516865
7.0,10,30.528865
10.0,22,30.554867
2.0,11,30.567865
10.0,93,30.675864
3.0,6,30.682866
2.0,3,30.687865
7.0,10,30.699865
3.0,18,30.720834
4.0,19,30.743868
3.0,8,30.753867
3.0,11,30.767864
13.0,38,30.812835
2.0,11,30.826835
2.0,7,30.834835
10.0,16,30.8557
7.0,14,30.872702
2.0,3,30.876703
5.0,12,30.891703
2.0,7,30.900673
9.0,12,30.915672
8.0,18,30.937702
8.0,16,30.956702
3.0,12,30.971698
4.0,8,30.981704
4.0,11,30.995697
4.0,19,31.018703
4.0,14,31.035703
2.0,11,31.048702
2.0,7,31.057702
10.0,13,31.073703
9.0,17,31.094697
3.0,8,31.104701
10.0,56,31.169703
10.0,15,31.188699
3.0,5,31.194702
4.0,12,31.210672
3.0,7,31.219697
3.0,4,31.224702
8.0,14,31.241704
7.0,10,31.254698
4.0,7,31.263703
3.0,5,31.269704
7.0,10,31.281703
7.0,14,32.376945
3.0,15,32.400941
10.0,18,32.430943
10.0,24,32.470943
11.0,16,32.496945
5.0,31,32.541939
11.0,92,32.662972
8.0,11,32.677973
3.0,7,32.686971
2.0,17,32.714941
10.0,59,32.829941
3.0,8,32.841945
4.0,10,32.85394
7.0,14,32.876945
3.0,7,32.885945
3.0,9,32.898946
2.0,5,32.905945
8.0,14,32.924946
3.0,16,32.946943
3.0,5,32.955942
