#{"t_start": 1743759168.5538583, "env_id": "sneaky_enemies"}
r,l,t
1.0,3,5.43824
1.0,3,5.442211
1.0,5,5.448241
1.0,2,5.45124
2.0,8,5.461241
2.0,7,5.470242
1.0,2,5.47324
1.0,2,5.476238
3.0,23,5.503844
1.0,5,5.509847
1.0,11,5.523847
1.0,3,5.527842
2.0,3,5.531847
4.0,7,5.540847
1.0,3,5.54485
1.0,7,5.55385
2.0,3,5.557847
1.0,4,5.563846
1.0,3,5.567845
3.0,23,5.594856
1.0,4,5.60043
2.0,3,5.60546
2.0,7,5.613461
1.0,4,5.61943
1.0,5,5.62546
2.0,11,5.639432
3.0,7,5.648454
2.0,7,5.656461
2.0,10,5.668463
1.0,3,5.67346
1.0,3,5.677461
3.0,7,5.685495
1.0,3,5.690495
1.0,7,5.699072
1.0,4,5.704072
1.0,3,5.709069
1.0,3,5.713073
5.0,31,5.749072
1.0,8,5.759067
2.0,15,5.777072
1.0,3,5.781072
1.0,3,5.785117
3.0,7,5.794111
1.0,11,5.807684
1.0,3,5.811684
3.0,7,5.820652
1.0,3,5.825651
3.0,7,5.834655
1.0,3,5.839651
3.0,11,5.852688
1.0,3,5.856682
1.0,3,5.861682
2.0,7,5.869681
3.0,7,5.878682
5.0,19,5.902229
1.0,3,5.906229
1.0,3,5.910198
1.0,3,5.914232
1.0,3,5.918229
3.0,4,5.92423
4.0,19,5.947227
1.0,3,5.951223
1.0,7,5.960198
3.0,7,5.969198
2.0,11,5.982224
1.0,3,5.986255
7.0,22,6.012832
3.0,23,6.039836
2.0,7,6.048836
2.0,16,6.067833
2.0,7,6.076832
1.0,4,6.081834
3.0,10,6.094862
1.0,3,6.098393
1.0,3,6.102429
1.0,4,6.108431
1.0,3,6.112424
2.0,7,6.121429
1.0,3,6.125424
3.0,7,6.133429
3.0,7,6.142428
2.0,7,6.15143
4.0,11,6.164424
4.0,11,6.178429
2.0,7,6.186464
1.0,4,6.192463
1.0,4,6.196459
3.0,6,6.205028
2.0,11,6.218035
3.0,11,6.232421
2.0,7,6.241425
8.0,28,6.274425
1.0,7,6.283463
1.0,3,6.28746
2.0,8,6.296436
2.0,3,6.301954
2.0,7,6.309954
1.0,3,6.314954
1.0,3,6.318954
4.0,19,6.340954
1.0,4,6.346954
2.0,4,6.351954
1.0,3,6.355954
1.0,3,6.360954
7.0,14,6.376954
2.0,3,6.381954
1.0,3,6.385963
1.0,3,6.389962
2.0,15,6.40851
2.0,3,6.41251
3.0,7,7.564235
2.0,3,7.568234
1.0,4,7.574236
1.0,5,7.580235
2.0,27,7.61348
2.0,30,7.65748
2.0,6,7.66748
2.0,7,7.676481
4.0,7,7.685485
2.0,6,7.695517
2.0,5,7.704063
2.0,8,7.716064
3.0,15,7.740065
2.0,7,7.752065
1.0,4,7.759066
3.0,11,7.772064
3.0,7,7.781066
1.0,3,7.786067
1.0,5,7.792095
1.0,3,7.796099
1.0,8,7.806671
3.0,31,7.843683
2.0,6,7.850676
1.0,2,7.85368
1.0,3,7.858677
2.0,5,7.86467
4.0,15,7.88267
2.0,6,7.890681
1.0,8,7.900286
2.0,6,7.908288
2.0,8,7.918286
1.0,3,7.922285
7.0,10,7.934286
1.0,5,7.940283
2.0,18,7.962285
2.0,3,7.966285
3.0,7,7.975281
4.0,15,7.993325
3.0,7,8.001904
3.0,14,8.018901
4.0,35,8.060874
2.0,7,8.069875
2.0,7,8.077874
1.0,4,8.083875
2.0,7,8.092883
9.0,34,8.132403
2.0,6,8.140403
4.0,7,8.148403
3.0,12,8.163403
2.0,6,8.171403
2.0,3,8.175403
2.0,6,8.182403
2.0,7,8.191412
4.0,7,8.199929
11.0,500,8.7609
4.0,15,8.7789
1.0,7,8.786935
2.0,7,8.795936
1.0,3,8.800508
1.0,3,8.804508
1.0,4,8.809504
2.0,5,8.816507
1.0,5,8.822511
3.0,12,8.83748
1.0,4,8.843507
1.0,3,8.847507
1.0,3,8.851508
1.0,4,8.857507
9.0,14,8.87451
4.0,7,8.882509
10.0,88,8.987984
4.0,7,8.996989
1.0,3,9.001565
2.0,8,9.011568
2.0,11,9.024561
1.0,3,9.029531
3.0,12,9.046531
1.0,4,9.052532
4.0,15,9.073531
1.0,8,9.084534
3.0,7,9.094541
1.0,5,9.102046
1.0,4,9.109046
1.0,5,9.116046
1.0,3,9.120043
4.0,7,9.130044
3.0,7,9.139043
1.0,3,9.143044
4.0,15,9.162044
1.0,3,9.166044
9.0,18,9.187049
1.0,4,9.193049
1.0,8,9.203562
3.0,12,9.217562
3.0,7,9.226562
4.0,9,9.237562
4.0,7,9.246562
2.0,9,9.258592
3.0,8,9.268592
2.0,8,9.279589
2.0,43,9.330177
3.0,7,9.339175
2.0,7,9.349205
