#{"t_start": 1743793487.1829495, "env_id": "sneaky_enemies"}
r,l,t
3.0,7,8.603489
1.0,14,8.621045
3.0,27,8.655598
3.0,11,8.672384
3.0,7,8.681984
5.0,19,8.707051
10.0,46,8.770186
5.0,27,8.805755
3.0,19,8.830303
4.0,23,8.865042
3.0,10,8.878611
10.0,42,8.930303
4.0,11,8.944827
2.0,3,8.948827
3.0,19,8.973379
3.0,15,8.992414
2.0,11,9.008933
11.0,35,9.054538
4.0,19,9.077574
2.0,3,9.083091
3.0,4,9.089093
2.0,7,9.09761
4.0,11,9.11165
5.0,47,9.174781
1.0,3,9.179783
8.0,30,9.21751
1.0,7,9.227083
1.0,3,9.231621
3.0,7,9.241224
4.0,35,9.283426
1.0,6,9.29195
4.0,23,9.322024
3.0,4,9.328025
5.0,7,9.340049
3.0,15,9.358575
3.0,19,9.38413
4.0,11,9.397646
1.0,7,9.407164
3.0,10,9.421249
4.0,47,9.479839
1.0,3,9.484354
2.0,7,9.492873
2.0,11,9.510906
3.0,11,9.524938
4.0,12,9.53996
2.0,11,9.55549
4.0,14,9.572524
2.0,7,9.582043
3.0,14,9.600064
3.0,39,9.64773
4.0,15,9.667844
2.0,3,9.672362
3.0,7,9.680877
8.0,37,9.728457
4.0,11,9.742493
3.0,22,9.770035
3.0,11,9.784567
4.0,14,9.804595
3.0,27,9.843316
5.0,22,9.869952
3.0,11,9.885535
2.0,7,9.895053
4.0,15,9.913592
3.0,15,9.932639
2.0,14,9.95067
4.0,31,9.989734
5.0,15,10.011783
4.0,10,10.024554
4.0,15,10.046655
3.0,23,10.077235
4.0,11,10.091378
1.0,12,10.105953
5.0,15,10.125636
3.0,19,10.148814
2.0,6,10.156385
3.0,7,10.166932
3.0,7,10.17847
3.0,22,10.206099
6.0,15,10.224639
3.0,9,10.236155
10.0,45,10.289951
3.0,15,10.311028
4.0,15,10.330062
8.0,43,10.384166
1.0,11,10.397683
2.0,17,10.420761
4.0,16,10.440797
1.0,13,10.457314
3.0,11,10.47235
2.0,8,11.680134
7.0,18,11.703329
5.0,14,11.72086
3.0,7,11.732379
2.0,7,11.741884
3.0,11,11.760927
4.0,10,11.77444
1.0,3,11.778439
2.0,7,11.789949
4.0,12,11.810476
2.0,11,11.824512
2.0,11,11.840533
3.0,12,11.857051
3.0,18,11.881582
2.0,7,11.891097
1.0,5,11.898094
2.0,7,11.906605
3.0,11,11.924173
2.0,19,11.947189
1.0,3,11.951709
5.0,21,11.978741
8.0,26,12.012813
4.0,10,12.025851
3.0,8,12.035367
4.0,10,12.049886
4.0,32,12.090474
2.0,7,12.09848
2.0,3,12.103997
2.0,4,12.108998
4.0,12,12.124548
2.0,11,12.138067
3.0,15,12.157099
3.0,14,12.176135
3.0,11,12.190163
5.0,20,12.217732
3.0,8,12.2283
3.0,15,12.247335
4.0,23,12.27689
5.0,14,12.295927
2.0,11,12.309947
3.0,31,12.348389
2.0,15,12.366421
6.0,38,12.414009
4.0,23,12.445084
2.0,7,12.453604
4.0,11,12.469122
3.0,8,12.478637
2.0,11,12.493672
4.0,27,12.53301
4.0,23,12.562212
3.0,14,12.578733
3.0,9,12.591757
3.0,7,12.601265
4.0,23,12.630002
2.0,15,12.648594
2.0,27,12.683816
2.0,36,12.726704
1.0,3,12.731246
8.0,14,12.748767
3.0,23,12.779078
3.0,16,12.799759
4.0,29,12.83709
3.0,13,12.855207
2.0,7,12.86481
3.0,23,12.894515
5.0,31,12.93592
3.0,15,12.961466
4.0,13,12.981505
4.0,12,12.998023
3.0,27,13.030618
2.0,10,13.043193
5.0,9,13.05671
9.0,39,13.107314
5.0,42,13.160166
2.0,7,13.169203
3.0,7,13.177772
4.0,19,13.20099
3.0,11,13.215593
9.0,19,13.238876
6.0,31,13.277153
9.0,32,13.316364
1.0,6,13.323508
3.0,11,13.337081
6.0,17,13.357185
2.0,7,13.366721
1.0,3,13.37025
4.0,31,13.407959
4.0,8,13.417512
3.0,7,13.427635
2.0,3,13.432183
3.0,15,13.450213
3.0,19,13.475396
1.0,11,13.488964
2.0,23,13.517675
3.0,8,13.52672
2.0,7,13.536291
3.0,9,13.547864
4.0,8,13.558401
4.0,9,13.568944
4.0,23,13.597626
2.0,3,13.602207
4.0,22,13.628885
3.0,11,13.642999
2.0,7,13.651591
4.0,19,13.676035
4.0,17,13.700257
5.0,36,13.745996
6.0,25,13.78317
4.0,12,13.798737
5.0,21,13.82355
2.0,3,13.827556
4.0,7,13.837131
2.0,7,13.845698
2.0,26,13.879224
3.0,10,13.891258
2.0,22,13.9178
5.0,16,13.941006
4.0,19,13.963144
4.0,14,13.981889
1.0,7,13.990433
2.0,3,13.994465
4.0,10,14.007043
3.0,19,14.028716
3.0,11,14.042822
3.0,7,14.052397
4.0,16,14.071554
5.0,15,14.09165
8.0,31,14.129805
3.0,5,14.135847
3.0,41,14.183704
5.0,15,14.201855
4.0,19,14.226135
2.0,6,14.2337
3.0,18,14.256843
3.0,7,14.265422
2.0,10,14.277995
4.0,35,14.319852
4.0,7,15.579707
3.0,17,15.601789
4.0,14,15.61823
3.0,26,15.656031
2.0,11,15.668538
9.0,18,15.695069
2.0,10,15.707578
3.0,17,15.730615
8.0,18,15.755213
2.0,10,15.768733
10.0,34,15.811321
3.0,6,15.81932
3.0,15,15.838358
3.0,12,15.853393
7.0,18,15.876428
3.0,10,15.890458
1.0,3,15.89746
2.0,11,15.917503
2.0,7,15.931146
4.0,11,15.944651
9.0,34,15.98669
2.0,7,15.996209
2.0,7,16.005724
2.0,9,16.016899
3.0,15,16.035145
3.0,11,16.048653
3.0,8,16.059163
2.0,12,16.07418
7.0,11,16.088322
2.0,11,16.10208
4.0,7,16.111469
10.0,22,16.14008
4.0,10,16.152099
4.0,12,16.166692
4.0,6,16.177233
3.0,11,16.192272
2.0,15,16.21598
4.0,36,16.270811
10.0,27,16.305356
2.0,7,16.314874
4.0,13,16.33395
7.0,10,16.347458
4.0,17,16.368479
5.0,19,16.399052
4.0,15,16.445261
2.0,11,16.47078
7.0,22,16.507136
5.0,16,16.530103
3.0,11,16.548626
5.0,23,16.578152
8.0,30,16.615957
3.0,11,16.641897
2.0,7,16.659931
2.0,7,16.673469
5.0,15,16.700028
2.0,10,16.718161
2.0,11,16.735189
2.0,7,16.744385
3.0,11,16.758898
6.0,18,16.782725
4.0,27,16.828334
2.0,11,16.85689
5.0,17,16.880173
2.0,31,16.941373
5.0,20,16.977933
3.0,7,16.988449
3.0,11,17.018017
3.0,9,17.035062
3.0,6,17.044093
2.0,19,17.068574
2.0,6,17.078091
4.0,15,17.101143
4.0,10,17.116216
12.0,37,17.183155
3.0,11,17.200187
8.0,14,17.218711
2.0,7,17.230271
4.0,6,17.238278
3.0,7,17.249801
2.0,11,17.267937
2.0,3,17.272446
2.0,15,17.292472
2.0,15,17.315505
3.0,23,17.350797
2.0,7,17.367907
4.0,12,17.388951
8.0,18,17.414622
4.0,11,17.433179
2.0,15,17.453804
3.0,18,17.485751
3.0,23,17.537974
2.0,15,17.561347
3.0,11,17.575858
2.0,10,17.588914
10.0,38,17.634188
10.0,30,17.674006
4.0,15,17.692771
11.0,20,17.717299
2.0,7,17.726446
8.0,14,17.743335
4.0,19,17.766418
7.0,28,17.802445
3.0,8,17.812963
5.0,20,17.836496
6.0,20,17.863051
3.0,4,17.869052
3.0,17,17.891599
4.0,7,17.901116
1.0,3,17.905122
3.0,8,17.915639
7.0,18,17.938264
5.0,28,17.976292
3.0,7,17.98487
3.0,7,17.994012
4.0,12,18.009158
5.0,14,18.025862
3.0,11,18.040019
3.0,7,18.049145
2.0,6,18.056678
7.0,18,18.080238
2.0,14,18.100258
8.0,23,18.13094
2.0,7,18.144454
8.0,18,18.168607
3.0,31,18.20654
2.0,7,18.215107
8.0,18,18.237015
4.0,8,18.247165
8.0,23,18.275042
5.0,11,18.288615
4.0,8,18.300163
2.0,15,18.318874
5.0,17,18.338581
3.0,7,18.349154
2.0,7,18.358321
5.0,16,18.378465
5.0,7,18.387042
2.0,15,18.405182
9.0,19,18.428742
4.0,12,18.44478
7.0,11,18.458296
3.0,12,18.475332
9.0,34,18.522946
7.0,18,19.726433
2.0,3,19.731943
4.0,15,19.754976
2.0,11,19.771806
3.0,19,19.798331
9.0,18,19.825524
2.0,3,19.830033
3.0,6,19.838042
7.0,14,19.859911
4.0,24,19.896464
8.0,18,19.933025
6.0,11,19.947545
3.0,5,19.954064
1.0,21,19.982248
10.0,25,20.012769
3.0,12,20.027786
3.0,23,20.062568
5.0,15,20.083274
2.0,3,20.088273
2.0,15,20.112202
4.0,11,20.127788
4.0,8,20.144822
9.0,24,20.178189
2.0,15,20.197294
3.0,7,20.206864
2.0,7,20.216026
4.0,7,20.224678
4.0,18,20.247778
2.0,6,20.255912
3.0,7,20.265402
2.0,11,20.279957
2.0,7,20.288496
3.0,6,20.296062
4.0,12,20.31614
2.0,11,20.330276
7.0,14,20.350022
