#{"t_start": 1743759050.326193, "env_id": "chokepoint"}
r,l,t
7.0,12,5.165643
4.0,18,5.183643
10.0,21,5.206644
2.0,12,5.218643
4.0,20,5.239685
7.0,21,5.262253
3.0,7,5.270256
3.0,13,5.283257
3.0,5,5.289256
6.0,16,5.306255
3.0,16,5.323256
2.0,15,5.339287
3.0,5,5.345282
3.0,17,5.362854
3.0,13,5.376849
2.0,16,5.393864
2.0,30,5.423853
8.0,13,5.437897
3.0,22,5.461463
3.0,13,5.474462
2.0,12,5.487461
1.0,2,5.490461
4.0,16,5.507459
7.0,24,5.532491
3.0,5,5.538461
3.0,7,5.545461
8.0,33,5.578973
5.0,16,5.595973
3.0,8,5.604973
4.0,19,6.804037
3.0,8,6.813034
2.0,12,6.826035
2.0,3,6.830035
4.0,22,6.853091
4.0,17,6.87109
3.0,33,6.907091
8.0,23,6.934094
3.0,26,6.96561
4.0,17,6.987638
4.0,14,7.004611
2.0,10,7.016638
3.0,7,7.025607
1.0,6,7.033611
4.0,6,7.040612
7.0,23,7.065126
3.0,32,7.099226
4.0,17,7.117257
3.0,16,7.133226
3.0,12,7.146231
3.0,6,7.152741
1.0,6,7.160741
2.0,7,7.168741
5.0,12,7.182742
4.0,12,7.197741
3.0,8,7.207742
8.0,15,7.22774
3.0,7,7.235811
3.0,5,7.241809
4.0,14,7.256382
9.0,20,7.277381
3.0,5,7.283352
3.0,6,7.292352
3.0,10,7.303384
7.0,24,7.328382
13.0,35,7.367491
3.0,14,7.38249
2.0,9,7.392492
1.0,8,7.401491
0.0,1,7.403492
3.0,10,7.414461
7.0,16,7.431492
10.0,33,7.466074
2.0,9,7.476074
3.0,10,7.487074
3.0,4,7.492074
4.0,15,7.508074
2.0,13,7.522105
3.0,8,7.531102
3.0,9,7.541079
4.0,10,7.552655
2.0,10,7.564622
7.0,27,7.593652
1.0,7,7.60162
3.0,8,7.610621
4.0,17,7.628621
0.0,1,7.63062
4.0,11,7.642625
6.0,14,7.657931
9.0,26,7.6859
8.0,18,7.704902
2.0,10,7.715928
8.0,17,7.733935
3.0,10,7.744944
3.0,18,7.764518
1.0,6,7.770515
9.0,31,7.803512
1.0,7,7.811516
8.0,23,7.835555
6.0,12,7.847562
2.0,9,7.858136
3.0,8,7.867134
6.0,11,7.879135
7.0,17,7.897132
3.0,10,7.908134
3.0,31,7.940143
1.0,16,7.958385
8.0,16,7.974385
3.0,11,7.986384
4.0,26,8.013415
2.0,18,8.031417
3.0,7,8.039448
1.0,9,8.049448
3.0,6,8.056025
12.0,24,8.081016
2.0,4,8.085016
5.0,15,8.101021
2.0,9,8.111024
0.0,3,8.114027
3.0,10,8.125018
0.0,2,8.128021
2.0,7,8.135023
