#{"t_start": 1743396032.1313481, "env_id": "sneaky_enemies"}
r,l,t
4.0,34,8.86096
4.0,7,8.86996
4.0,35,8.912484
3.0,23,8.939484
3.0,24,8.969484
4.0,13,8.985484
4.0,11,8.999484
3.0,7,9.008484
4.0,7,9.016484
4.0,15,9.035484
5.0,12,9.050484
1.0,7,9.059484
1.0,3,9.063484
3.0,13,9.079484
2.0,11,9.092484
2.0,7,9.101484
3.0,7,9.110484
2.0,18,9.132484
4.0,11,9.146484
12.0,39,9.194511
4.0,13,9.210891
4.0,12,9.225923
3.0,34,9.267895
1.0,3,9.271895
2.0,11,9.285895
7.0,15,9.304895
5.0,43,9.355895
2.0,9,9.366895
2.0,7,9.376893
3.0,13,9.392923
4.0,19,9.415922
3.0,15,9.434917
3.0,15,9.452892
1.0,8,9.462917
2.0,7,9.471924
3.0,19,9.494922
1.0,3,9.498916
2.0,7,9.507924
2.0,7,9.516893
3.0,23,9.544922
3.0,15,9.563917
10.0,31,9.600923
6.0,23,9.628922
7.0,47,9.684892
3.0,9,9.6976
2.0,7,9.7066
2.0,19,9.731601
1.0,11,9.745599
2.0,11,9.7586
4.0,19,9.7816
9.0,17,10.938107
8.0,14,10.955132
5.0,16,10.975132
4.0,11,10.990106
2.0,11,11.007107
4.0,8,11.021109
2.0,15,11.040107
4.0,8,11.055107
2.0,7,11.064112
2.0,23,11.092105
2.0,7,11.102107
3.0,26,11.134111
5.0,35,11.176111
2.0,15,11.196111
3.0,11,11.210111
3.0,31,11.247112
2.0,7,11.256111
4.0,31,11.293643
2.0,7,11.303643
2.0,7,11.312643
2.0,7,11.320643
4.0,12,11.335644
2.0,7,11.344643
4.0,17,11.365643
3.0,12,11.380643
6.0,24,11.408643
4.0,11,11.422643
3.0,28,11.456643
4.0,27,11.491647
4.0,15,11.509647
2.0,11,11.523647
3.0,7,11.532646
3.0,14,11.549646
4.0,21,11.574647
3.0,12,11.589672
4.0,20,11.613676
3.0,11,11.626677
2.0,15,11.64467
3.0,9,11.655674
3.0,10,11.667675
4.0,21,11.691674
3.0,10,11.703673
4.0,23,11.730674
2.0,7,11.739643
3.0,11,11.753641
3.0,15,11.771673
4.0,23,11.798642
3.0,19,11.820674
4.0,29,11.853673
3.0,14,11.870673
5.0,27,11.902677
3.0,11,11.915673
3.0,11,11.928673
2.0,11,11.942674
10.0,34,11.981674
