#{"t_start": 1743793581.931727, "env_id": "sneaky_enemies"}
r,l,t
3.0,9,8.186964
2.0,27,8.220515
3.0,22,8.25432
3.0,40,8.305431
2.0,7,8.315931
4.0,19,8.339472
4.0,23,8.370258
2.0,19,8.394388
3.0,27,8.427939
3.0,7,8.438477
2.0,3,8.442987
4.0,18,8.465024
5.0,34,8.50781
4.0,15,8.527897
3.0,27,8.562099
4.0,9,8.573278
2.0,3,8.577276
2.0,11,8.590818
2.0,11,8.605836
4.0,8,8.616357
2.0,11,8.629877
3.0,7,8.640404
1.0,3,8.644925
4.0,11,8.658441
5.0,13,8.67499
4.0,10,8.689544
3.0,27,8.723288
1.0,3,8.728294
4.0,31,8.767371
3.0,11,8.780399
4.0,7,8.790915
2.0,16,8.811953
3.0,6,8.820128
3.0,11,8.833271
2.0,11,8.847792
9.0,61,8.9234
2.0,10,8.937946
5.0,27,8.971089
1.0,3,8.978626
4.0,19,9.002165
2.0,7,9.011177
5.0,27,9.045266
1.0,7,9.054787
4.0,14,9.072324
6.0,27,9.105909
3.0,21,9.130945
1.0,6,9.139472
5.0,21,9.166037
2.0,7,9.175066
5.0,34,9.218166
3.0,19,9.241206
3.0,15,9.25924
1.0,9,9.271787
3.0,39,9.324429
2.0,11,9.338024
4.0,8,9.348542
3.0,7,9.358077
3.0,7,9.366592
3.0,5,9.372619
3.0,8,9.383144
1.0,7,9.392168
2.0,7,9.400742
6.0,35,9.444366
2.0,11,9.457881
2.0,11,9.470905
4.0,11,9.487021
3.0,6,9.494555
4.0,23,9.523188
7.0,24,9.553628
4.0,8,9.563231
4.0,17,9.58452
1.0,7,9.598011
4.0,12,9.61405
5.0,29,9.654142
4.0,21,9.678687
4.0,19,9.703241
5.0,12,9.717763
2.0,11,9.733885
4.0,19,9.756651
2.0,3,9.760652
3.0,21,9.788404
2.0,11,9.801922
4.0,9,9.81395
5.0,59,9.894995
5.0,11,9.910504
3.0,19,9.938651
3.0,19,9.963241
3.0,10,9.978974
1.0,5,9.985534
10.0,22,10.014905
4.0,15,10.034891
2.0,11,10.049461
2.0,3,10.054982
2.0,27,10.097586
3.0,15,10.120625
3.0,11,10.135656
3.0,11,10.151746
2.0,6,10.158752
3.0,7,10.16827
1.0,15,10.195254
2.0,7,10.204829
2.0,11,10.218371
4.0,10,10.231911
5.0,27,11.483379
5.0,14,11.500893
3.0,15,11.523
3.0,12,11.538515
2.0,11,11.553544
2.0,10,11.567062
3.0,7,11.578025
3.0,15,11.601063
4.0,9,11.612927
5.0,19,11.637954
3.0,15,11.658985
2.0,7,11.670496
6.0,18,11.694037
2.0,15,11.713057
1.0,3,11.717057
3.0,6,11.727591
2.0,15,11.7477
2.0,7,11.755789
4.0,35,11.799903
10.0,42,11.850498
3.0,7,11.860017
3.0,15,11.879051
6.0,34,11.920587
2.0,15,11.94388
3.0,8,11.954386
5.0,62,12.02719
5.0,16,12.046795
4.0,45,12.100601
1.0,7,12.110157
3.0,11,12.123827
2.0,11,12.136976
1.0,11,12.152072
2.0,7,12.160652
2.0,3,12.165194
3.0,7,12.173763
2.0,11,12.188802
3.0,11,12.202344
3.0,14,12.218918
3.0,15,12.239126
3.0,7,12.247666
2.0,25,12.278311
5.0,15,12.295945
1.0,6,12.304934
2.0,15,12.323534
2.0,23,12.35061
9.0,20,12.377231
4.0,19,12.402951
3.0,39,12.449866
4.0,9,12.460942
3.0,13,12.477553
4.0,12,12.492064
12.0,76,12.593646
3.0,15,12.617263
4.0,11,12.631776
3.0,5,12.637891
5.0,64,12.71784
3.0,20,12.741977
1.0,3,12.74613
4.0,11,12.759702
3.0,15,12.779007
1.0,3,12.783549
4.0,21,12.810133
2.0,13,12.825896
9.0,38,12.87217
3.0,23,12.900884
3.0,9,12.912588
5.0,31,12.951818
4.0,11,12.965945
3.0,19,12.991187
2.0,11,13.004857
3.0,9,13.016024
4.0,19,13.039578
2.0,7,13.049124
4.0,8,13.059644
9.0,43,13.116621
5.0,50,13.176606
4.0,8,13.186121
4.0,6,13.194169
3.0,10,13.206713
3.0,34,13.247059
2.0,3,13.252031
5.0,51,13.316231
3.0,7,13.325833
2.0,7,13.334945
9.0,20,13.359063
3.0,11,13.372629
2.0,15,13.390336
4.0,25,13.42255
3.0,32,13.463879
2.0,14,13.482169
4.0,12,13.496258
3.0,7,13.50485
2.0,15,13.523014
4.0,10,13.535174
4.0,17,13.556677
4.0,6,13.564254
2.0,7,13.573764
4.0,16,13.59331
4.0,23,13.621863
2.0,7,13.630872
4.0,13,13.647906
3.0,19,13.670939
4.0,13,13.686998
2.0,10,13.700514
2.0,29,13.735854
5.0,39,13.783314
4.0,10,13.795832
4.0,14,13.813866
5.0,39,13.859576
5.0,35,13.902669
3.0,7,13.910674
2.0,7,13.920192
13.0,50,13.980811
2.0,15,13.9996
4.0,10,14.012118
5.0,10,14.024153
3.0,19,14.047187
4.0,7,14.055703
3.0,23,15.28888
8.0,27,15.327741
5.0,20,15.351759
2.0,11,15.369793
4.0,23,15.405237
8.0,26,15.436746
1.0,3,15.440746
3.0,15,15.461917
3.0,33,15.503292
3.0,19,15.527308
2.0,11,15.541849
6.0,20,15.569377
2.0,7,15.57851
4.0,9,15.590078
6.0,27,15.622949
4.0,11,15.637305
3.0,7,15.645815
2.0,7,15.655359
4.0,13,15.67093
3.0,5,15.677929
1.0,3,15.68193
3.0,15,15.703393
3.0,35,15.748446
3.0,11,15.762009
3.0,7,15.77297
3.0,26,15.803423
3.0,12,15.819985
2.0,10,15.831969
2.0,3,15.837006
2.0,3,15.841006
7.0,26,15.872989
3.0,13,15.889119
2.0,31,15.926009
8.0,19,15.951029
2.0,19,15.97343
5.0,7,15.983465
5.0,20,16.007444
4.0,20,16.033038
4.0,9,16.044086
4.0,55,16.110505
11.0,36,16.155426
7.0,30,16.192042
2.0,9,16.203512
4.0,19,16.229277
5.0,14,16.246422
4.0,8,16.25598
10.0,26,16.290479
5.0,10,16.303524
7.0,24,16.333045
2.0,28,16.369491
3.0,31,16.409084
3.0,7,16.4186
2.0,7,16.428119
3.0,11,16.440635
3.0,11,16.45567
1.0,13,16.471188
3.0,13,16.488538
4.0,26,16.520134
3.0,7,16.530253
2.0,11,16.546302
4.0,19,16.57039
4.0,6,16.578415
4.0,31,16.617486
4.0,11,16.631007
2.0,15,16.650042
4.0,16,16.673573
2.0,7,16.684625
2.0,26,16.726377
3.0,8,16.736898
2.0,11,16.754495
2.0,7,16.764012
3.0,12,16.780044
3.0,23,16.813218
1.0,3,16.820215
2.0,20,16.844764
4.0,5,16.850764
2.0,7,16.861793
3.0,15,16.880833
4.0,13,16.896864
2.0,7,16.90638
3.0,14,16.923409
3.0,19,16.947512
3.0,31,16.985311
4.0,15,17.003449
2.0,18,17.026593
9.0,18,17.04866
2.0,7,17.057224
3.0,11,17.072203
4.0,35,17.115625
3.0,31,17.154349
4.0,5,17.160381
4.0,20,17.185681
2.0,7,17.19525
6.0,19,17.218273
3.0,15,17.23738
7.0,18,17.258518
4.0,15,17.278102
2.0,11,17.292127
1.0,3,17.296136
2.0,7,17.304652
4.0,17,17.327735
2.0,5,17.335267
2.0,11,17.348843
1.0,8,17.360413
5.0,29,17.400594
3.0,8,17.412668
1.0,5,17.418699
4.0,8,17.429271
8.0,18,17.454916
1.0,3,17.459914
3.0,6,17.467464
4.0,35,17.512621
3.0,14,17.531238
3.0,11,17.544309
3.0,23,17.572826
4.0,11,17.586855
2.0,11,17.60037
3.0,9,17.612395
2.0,15,17.629923
12.0,23,17.65948
12.0,44,17.71309
9.0,27,17.745646
9.0,18,17.76668
2.0,15,17.786223
3.0,12,17.800737
4.0,9,17.812855
5.0,13,17.830373
2.0,10,17.84339
3.0,13,17.859897
4.0,23,17.887928
2.0,15,17.907066
4.0,11,19.151984
3.0,10,19.166002
9.0,18,19.195036
3.0,14,19.217059
3.0,15,19.239087
8.0,23,19.26862
8.0,18,19.294661
1.0,3,19.299663
6.0,15,19.329861
7.0,18,19.363934
3.0,39,19.426997
3.0,16,19.452244
9.0,14,19.474295
2.0,15,19.494849
3.0,15,19.512877
2.0,15,19.533914
4.0,43,19.586613
2.0,13,19.602625
4.0,18,19.623737
2.0,15,19.641845
2.0,11,19.656447
4.0,7,19.665021
4.0,31,19.702627
8.0,15,19.72115
10.0,26,19.752209
3.0,15,19.770735
8.0,31,19.809321
3.0,7,19.82084
5.0,30,19.856905
2.0,27,19.888973
4.0,26,19.920523
4.0,8,19.93004
2.0,7,19.940555
4.0,13,19.955588
4.0,9,19.967108
2.0,7,19.976623
3.0,12,19.990655
3.0,15,20.01069
4.0,15,20.030746
2.0,7,20.04126
2.0,3,20.045777
3.0,4,20.050776
4.0,28,20.086133
2.0,7,20.094709
2.0,8,20.105285
8.0,22,20.131963
3.0,7,20.141004
4.0,11,20.156065
2.0,3,20.160095
3.0,6,20.168664
4.0,10,20.180811
7.0,14,20.198955
5.0,11,20.212055
2.0,11,20.225662
4.0,11,20.240571
3.0,15,20.258639
2.0,7,20.267214
9.0,18,20.289809
3.0,11,20.303936
2.0,7,20.313473
12.0,33,20.353759
3.0,17,20.377887
2.0,7,20.387
3.0,11,20.400578
3.0,9,20.412692
4.0,15,20.430285
3.0,11,20.444415
2.0,7,20.452979
3.0,14,20.470516
3.0,23,20.498791
4.0,31,20.537247
9.0,18,20.559395
3.0,11,20.573498
5.0,27,20.605243
4.0,16,20.624408
8.0,14,20.641982
2.0,13,20.658091
4.0,23,20.685344
3.0,27,20.719028
5.0,15,20.740138
5.0,39,20.785534
7.0,26,20.817268
2.0,7,20.825842
5.0,25,20.856522
1.0,4,20.862089
3.0,4,20.867126
3.0,12,20.881255
11.0,34,20.922851
3.0,7,20.930856
4.0,10,20.943884
4.0,24,20.972428
10.0,35,21.015512
4.0,11,21.032533
3.0,7,21.040545
5.0,28,21.07461
3.0,12,21.090163
4.0,11,21.103319
3.0,14,21.120883
2.0,7,21.12945
2.0,11,21.143598
2.0,7,21.154167
4.0,11,21.167768
1.0,11,21.181912
4.0,13,21.199061
