#{"t_start": 1743793296.7968469, "env_id": "sneaky_enemies"}
r,l,t
3.0,11,10.118848
9.0,18,10.140834
4.0,20,10.163816
2.0,11,10.176841
3.0,15,10.194846
5.0,39,10.239848
3.0,20,10.262846
5.0,28,10.295846
4.0,27,10.327845
4.0,11,10.340815
4.0,12,10.354846
4.0,15,10.372847
2.0,7,10.381843
6.0,14,10.398853
2.0,11,10.412816
3.0,15,10.429844
7.0,19,10.452847
3.0,7,10.460817
4.0,22,10.486849
4.0,10,10.498846
4.0,11,10.512846
3.0,14,10.528846
1.0,5,10.534846
1.0,5,10.541846
3.0,9,10.552816
3.0,19,10.574846
4.0,8,10.584841
3.0,14,10.601852
4.0,12,10.615846
2.0,12,10.629846
3.0,15,10.647846
4.0,9,10.658846
5.0,30,10.693846
4.0,9,10.704846
3.0,19,10.726846
3.0,23,10.753846
4.0,17,10.773841
5.0,10,10.785846
3.0,4,10.791846
4.0,7,10.799841
2.0,3,10.804846
9.0,26,10.834841
5.0,16,10.853846
1.0,3,10.857846
3.0,23,10.884852
1.0,3,10.888845
3.0,17,10.908846
2.0,7,10.917846
2.0,4,10.921845
4.0,17,10.943691
1.0,23,10.970691
3.0,19,10.993689
3.0,27,11.025689
9.0,18,11.04769
5.0,23,11.07469
3.0,13,11.09069
5.0,26,11.121693
2.0,7,11.130687
6.0,19,11.15369
3.0,15,11.17166
4.0,7,11.180697
3.0,13,11.19669
1.0,11,11.209689
2.0,7,11.21869
3.0,11,11.23166
9.0,26,11.26269
5.0,23,11.290692
2.0,11,11.30369
1.0,5,11.310689
5.0,12,11.32569
3.0,7,11.33469
3.0,7,11.343659
5.0,33,11.382685
8.0,20,11.40669
4.0,9,11.417695
4.0,39,11.464691
3.0,15,11.482692
3.0,26,11.513663
4.0,19,11.535689
3.0,15,11.553689
1.0,2,11.55669
2.0,10,11.569684
3.0,15,11.587689
4.0,32,11.625266
10.0,16,11.645266
6.0,15,11.663267
3.0,19,11.685238
5.0,22,11.713235
3.0,23,11.740265
1.0,4,11.746265
2.0,15,11.764266
3.0,15,11.782265
2.0,3,11.787265
2.0,10,11.799266
3.0,23,11.827268
2.0,11,11.840265
9.0,17,11.861236
8.0,31,11.898703
3.0,7,11.907707
7.0,31,11.944707
3.0,26,11.975711
2.0,7,11.984676
1.0,3,11.989675
3.0,15,12.007676
2.0,3,12.011676
3.0,27,12.043676
3.0,7,12.052676
2.0,8,12.06568
3.0,23,13.223399
3.0,4,13.233401
5.0,11,13.2494
2.0,13,13.266397
3.0,10,13.286399
3.0,8,13.302401
7.0,26,13.345399
5.0,9,13.3624
5.0,19,13.388399
4.0,10,13.404398
4.0,11,13.4214
4.0,31,13.457397
6.0,27,13.490422
6.0,20,13.514433
4.0,9,13.52543
2.0,7,13.53343
10.0,15,13.551401
3.0,8,13.561401
9.0,30,13.597425
3.0,11,13.610431
2.0,7,13.619432
4.0,15,13.63743
3.0,23,13.664254
4.0,9,13.675253
3.0,5,13.682253
1.0,3,13.686255
2.0,3,13.690253
3.0,7,13.699249
1.0,4,13.704256
2.0,15,13.722254
3.0,11,13.735254
3.0,19,13.757224
3.0,9,13.768255
2.0,29,13.803254
3.0,6,13.810252
8.0,19,13.833256
2.0,11,13.84625
3.0,17,13.866254
4.0,25,13.896224
4.0,19,13.919251
5.0,40,13.965249
7.0,18,13.986253
4.0,9,13.997257
4.0,23,14.024256
4.0,15,14.042253
2.0,7,14.051254
1.0,8,14.060249
3.0,16,14.080253
9.0,18,14.101253
4.0,11,14.114253
5.0,26,14.144253
5.0,13,14.160253
2.0,3,14.164253
2.0,7,14.172253
11.0,34,14.213253
3.0,7,14.222224
2.0,11,14.235224
3.0,7,14.244223
3.0,13,14.260222
3.0,11,14.273222
3.0,7,14.282223
2.0,15,14.300223
2.0,3,14.304223
8.0,27,14.336398
6.0,23,14.364399
8.0,18,14.387367
4.0,39,14.434398
8.0,18,14.458369
3.0,7,14.467395
5.0,11,14.481398
5.0,28,14.515367
5.0,11,14.528366
2.0,11,14.542366
3.0,11,14.556368
3.0,7,14.565368
3.0,11,14.579367
3.0,9,14.590368
3.0,12,14.605398
2.0,11,14.618398
4.0,7,14.627401
10.0,29,14.662691
3.0,9,14.674691
4.0,6,14.681692
3.0,15,14.700722
3.0,25,14.730721
4.0,23,14.757722
2.0,3,14.761693
3.0,5,14.768722
11.0,22,14.794722
4.0,27,14.826722
6.0,36,14.879695
8.0,50,14.941693
9.0,31,14.980722
7.0,14,14.998695
4.0,7,15.008695
4.0,32,15.047722
2.0,15,15.065692
1.0,3,15.069692
4.0,19,15.092692
4.0,16,15.112692
4.0,15,15.130692
2.0,7,15.138692
8.0,22,15.165694
4.0,11,15.179692
3.0,15,15.197722
1.0,3,15.201691
4.0,23,15.228721
2.0,5,15.235718
8.0,14,15.252693
3.0,7,15.260722
3.0,11,15.274721
4.0,5,15.281693
2.0,7,15.289721
3.0,7,15.298722
3.0,11,15.313716
4.0,13,15.329721
1.0,6,15.336721
3.0,20,15.360721
3.0,8,15.370721
3.0,6,15.378721
1.0,3,15.382719
2.0,15,15.401692
7.0,20,15.428691
3.0,11,15.443695
1.0,16,15.463695
11.0,26,15.495721
3.0,31,15.532692
3.0,11,15.546722
3.0,11,15.559721
5.0,19,15.58372
5.0,13,15.600722
2.0,7,15.610691
1.0,11,15.623717
4.0,11,15.637691
1.0,3,15.641724
3.0,11,15.656722
3.0,14,15.672724
10.0,34,15.713727
9.0,23,15.740722
5.0,18,15.762722
4.0,20,16.869657
3.0,8,16.880657
4.0,15,16.899658
5.0,12,16.915658
2.0,15,16.936658
